ddt.unwedding.txt: 离婚
ddt.pets.rePetNameTitle: 宠物改名
tank.vip.rechargeAlertContent5: 副本大翻牌{0}折；
lanternRiddles.view.openTips: 请回到游戏广场！
store.Exalt.autoSplit.inputNumber: 输入进阶石数量
wonderfulActivity.awardTip43: 卡牌洗点活动有可领取的奖励。|立即领取
ddt.pets.pose2: 宠物粮食不但可以增加我的经验还可以增加我的快乐度。
tank.vip.rechargeAlertContent6: 使用弹王祝福扣除体力降低到{0}；
lanternRiddles.view.activityExpired: 趣味答题活动已过期！
loading.asset: 资源文件
floatParade.game.invisibilityBtnTipTxt: 将自己的花车隐形30秒，不受到拦劫(CD时间5秒)
wonderfulActivity.awardTip44: 潜能激活活动有可领取的奖励。|立即领取
tank.vip.rechargeAlertContent7: 一键完成任务增加{0}次；
lanternRiddles.view.beginTipsText: 趣味答题活动还有{0}分钟开启！
shop.buyAvatarFail: 部分商品无法快捷购买！
magicStone.canGetFourAbove: 随机获得四种属性
wonderfulActivity.awardTip45: 扭蛋活动有可领取的奖励。|立即领取
tank.vip.rechargeAlertContent8: 天使赐福开启加速；
bagView.consumePack.openTxt: 打开宝箱需消耗{0}点券，是否打开?
email.complain.confim: 确定举报此邮件为垃圾邮件？
wonderfulActivity.awardTip46: 藏宝图活动有可领取的奖励。|立即领取
ddt.pets.reInputPetName: 请输入宠物昵称:
tank.vip.rechargeAlertContent9: 战斗失败不扣功勋；
avatarCollection.selectOne: 请至少勾选一套图鉴
tank.trainer.fightAction.newHandTip1: 开炮方向反了，调整方向再打哦！
carnival.descTxt8: 卡牌总等级达到{0}
wonderfulActivity.awardTip47: 打造升级活动有可领取的奖励。|立即领取
ddt.pets.pose3: 升级之后的我会更加强大。
tank.vip.rechargeAlertContent10: 每天可开启{0}次VIP币；
avatarCollection.propertyNameTxt: 攻击,防御,敏捷,幸运,伤害,护甲,血量
tank.trainer.fightAction.newHandTip2: 力量太大了，试试用更小的力量开炮
floatParade.game.cleanBtnTipTxt: 清除自身减益效果(CD时间5秒)
wonderfulActivity.awardTip48: 宠物突破活动有可领取的奖励。|立即领取
tank.vip.rechargeAlertContent11: 免费开启梅恩兰德祝福{0}
avatarCollection.propertyTipTitleTxt: 集1/2图鉴效果,集齐图鉴效果
tank.trainer.fightAction.newHandTip3Small: 力量有些大，再小点试试
magicStone.onlyBindedCanBuy: 注：魔石商城内道具购买即为绑定
wonderfulActivity.awardTip49: 道具使用活动有可领取的奖励。|立即领取
tank.vip.rechargeAlertContent12: 每天领取{0}级VIP礼包：{1}；
avatarCollection.rightView.descTxt: 1.需要拥有对应服饰才能激活该图鉴。
2.收集图鉴可获得属性，收集数量达到
一半获得1/2属性，集齐获得完整属性。
3.收集效果过期后可消耗荣誉续时。
tank.trainer.fightAction.newHandTip3Large: 力量有些小，再大点试试
wonderfulActivity.npc.clickTip: 您的点击次数太频繁，请稍等！
ddt.pets.growthText: 成长
tank.vip.rechargeAlertContent13: 1、上线跨区公告，时间间隔为1小时；
avatarCollection.itemTip.typeNameTxt: 类型
tank.trainer.fightAction.newHandTip4: 炮弹对您和队友同样会造成伤害，调整位置与角度，将炮口对准敌人！
worshipTheMoon.main.title: 中秋祭月
ddt.pets.notForm: 没有可唤醒的卡片
tank.vip.rechargeAlertContent14: 2、开启BOSS战；
avatarCollection.itemTip.typeValueTxt: {0}图鉴
tank.trainer.fightAction.newHandTip5: 在位置不佳的情况下，可以使用传送。
floatParade.game.missileBtnTipTxt: 呼叫卫星发射导弹，控制对方不能行动10秒(CD时间5秒)
worshipTheMoon.preview.title: 祭月奖励
trainer.view.SecondOnlineView.conentText3.text: (不在线依然计时哦！)
tank.vip.rechargeAlertContent15: 3、种植助手免费使用；
avatarCollection.helpTxt: 图鉴说明
tank.trainer.fightAction.newHandTip6: 生命值过低，请使用在战斗道具箱中购买的生命恢复！
magicStone.lockedTxt: 该魔石已锁定，不能进行合成
worshipTheMoon.notification: 祭月成功得到{0}月相，获得一个{1}!
ddt.setting.guideText: 该功能仅在1-15级可用
tank.vip.rechargeAlertContent16: 4、可开启宠物第五个技能格；
avatarCollection.itemTip.activityStatusTxt: 激活状态：
tank.roulette.helpView.tltle: 规则说明
ddt.wasteRecycle.limitScoreTips: 当前回收所得积分已超出每日可回收上限
worshipTheMoon.thisIsCostMoney: 确认消耗{0}点券，进行{1}次祭月！
ddt.pets.revertPetAlertMsg: 你确定还原宠物<FONT COLOR='#FF0000'>{0}</FONT>么？还原后宠物会变为1级，
并获得宠物精华液。
tank.vip.rechargeAlertContent17: 5、可购买化肥之神；
avatarCollection.itemTip.needGoldTxt: 激活消耗：{0}金币
ddt.vip.vipView.getAwardsByLVText: 请根据VIP等级领取对应的礼包
worshipTheMoon.chatMsg.open: 中秋祭月活动开启。
ddt.pets.petHapyyStatus: 当前快乐度:
tank.vip.PrivilegeTxt1: <FONT SIZE='14px' COLOR='#fef7d4'>1、任务奖励从2星开始
2、强化经验加成2.5
3、副本大翻牌8.8折扣
4、战斗经验加成</FONT><FONT SIZE='14px' COLOR='#FF0000'>1.1</FONT><FONT SIZE='14px' COLOR='#fef7d4'>倍
5、战斗失败不扣除功勋
6、每天可开启VIP币</FONT><FONT SIZE='14px' COLOR='#FF0000'>1</FONT><FONT SIZE='14px' COLOR='#fef7d4'>次
7、</FONT><FONT SIZE='14px' COLOR='#FF0000'>1级VIP礼包</FONT><FONT SIZE='14px' COLOR='#fef7d4'>：强化石、合成石、经验药水<FONT>
avatarCollection.itemTip.placeTxt: 产地：
tank.view.Texp.bugbuff: 点击购买梅恩兰德的祝福
floatParade.frame.countDownViewTxt: 剩余比赛时间：
worshipTheMoon.chatMsg.close: 中秋祭月活动结束。
tank.vip.PrivilegeTxt2: <FONT SIZE='14px' COLOR='#fef7d4'>1、任务奖励从2星开始
2、强化经验加成2.5
3、副本大翻牌8.8折扣
4、战斗经验加成</FONT><FONT SIZE='14px' COLOR='#FF0000'>1.2</FONT><FONT SIZE='14px' COLOR='#fef7d4'>倍
5、战斗失败不扣除功勋
6、每天可开启VIP币</FONT><FONT SIZE='14px' COLOR='#FF0000'>3</FONT><FONT SIZE='14px' COLOR='#fef7d4'>次
7、</FONT><FONT SIZE='14px' COLOR='#FF0000'>2级VIP礼包</FONT><FONT SIZE='14px' COLOR='#fef7d4'>：强化石、合成石、经验药水<FONT>
avatarCollection.itemTip.activityTxt: 已激活,未激活
tank.auctionHouse.view.wishBead: 祝福宝珠
magicStone.judgeFeedLevel: 合成的魔石已满级，不可被合成。
worshipTheMoon.chatMsg.YouGained: 恭喜你获得以下祭月礼物：
tank.vip.PrivilegeTxt3: <FONT SIZE='14px' COLOR='#fef7d4'>1、任务奖励从2星开始
2、强化经验加成2.5
3、</FONT><FONT SIZE='14px'COLOR='#FF0000'>每天开启一键完成任务功能1次</FONT><FONT SIZE='14px' COLOR='#fef7d4'>
4、副本大翻牌8.8折扣
5、战斗经验加成</FONT><FONT SIZE='14px' COLOR='#FF0000'>1.3</FONT><FONT SIZE='14px' COLOR='#fef7d4'>倍
6、战斗失败不扣除功勋
7、每天可开启VIP币</FONT><FONT SIZE='14px' COLOR='#FF0000'>5</FONT><FONT SIZE='14px' COLOR='#fef7d4'>次
8、</FONT><FONT SIZE='14px' COLOR='#FF0000'>免费开启梅恩兰德祝福：续关赠送、</FONT><FONT SIZE='14px' COLOR='#fef7d4'>
9、</FONT><FONT SIZE='14px' COLOR='#FF0000'>3级VIP礼包</FONT><FONT SIZE='14px' COLOR='#fef7d4'>：强化石、合成石、经验药水、</FONT><FONT SIZE='14px' COLOR='#FF0000>首饰、恢复圣石</FONT>
avatarCollection.itemTip.placeValueStrTxt: 商城、活动,副本
tank.view.WishBead.title: 装备铸金
worshipTheMoon.Details: 1.活动时间：
  {0}~{1}；
2.祭月可获得对应月相的奖励，每祭月
  10次必会出现一次满月；
3.满月月相可获得满月礼包，其他月相
  可获得对应的月饼礼包。
ddt.pets.revertPetCostMsg: 还原宠物需要花费<FONT COLOR='#FF0000'>{0}</FONT>点券，确定还原宠物？
tank.vip.PrivilegeTxt4: <FONT SIZE='14px' COLOR='#fef7d4'>1、任务奖励从2星开始
2、强化经验加成2.5
3、</FONT><FONT SIZE='14px' COLOR='#fef7d4'>每天开启一键完成任务功能1次</FONT><FONT SIZE='14px' COLOR='#fef7d4'>
4、副本大翻牌8.8折扣
5、战斗经验加成</FONT><FONT SIZE='14px' COLOR='#FF0000'>1.4</FONT><FONT SIZE='14px' COLOR='#fef7d4'>倍
6、战斗失败不扣除功勋
7、每天可开启VIP币</FONT><FONT SIZE='14px' COLOR='#FF0000'>5</FONT><FONT SIZE='14px' COLOR='#fef7d4'>次
8、</FONT><FONT SIZE='14px' COLOR='#fef7d4'>免费开启梅恩兰德祝福：续关赠送、</FONT><FONT SIZE='14px' COLOR='#FF0000'>救命稻草</FONT><FONT SIZE='14px' COLOR='#fef7d4'>
9、</FONT><FONT SIZE='14px' COLOR='#FF0000'>4级VIP礼包</FONT><FONT SIZE='14px' COLOR='#fef7d4'>：强化石、合成石、经验药水、首饰、恢复圣石</FONT>
avatarCollection.timeView.txt: 属性有效期：
wishBead.wishBeadHelp.say: 铸金说明
worshipTheMoon.higherGradeNeeded: 等级未达到{0}级，不能参与该活动
ddt.pets.petHapyyheart: 心情:
tank.vip.PrivilegeTxt5: <FONT SIZE='14px' COLOR='#fef7d4'>1、任务奖励从2星开始
2、强化经验加成2.5
3、</FONT><FONT SIZE='14px' COLOR='#fef7d4'>每天开启一键完成任务功能1次</FONT><FONT SIZE='14px' COLOR='#fef7d4'>
4、副本大翻牌8.8折扣
5、战斗经验加成</FONT><FONT SIZE='14px' COLOR='#FF0000'>1.5</FONT><FONT SIZE='14px' COLOR='#fef7d4'>倍
6、战斗失败不扣除功勋
7、每天可开启VIP币</FONT><FONT SIZE='14px' COLOR='#FF0000'>9</FONT><FONT SIZE='14px' COLOR='#fef7d4'>次
8、</FONT><FONT SIZE='14px' COLOR='#fef7d4'>免费开启梅恩兰德祝福：续关赠送、救命稻草、</FONT><FONT SIZE='14px' COLOR='#FF0000'>翻牌赠送</FONT><FONT SIZE='14px' COLOR='#fef7d4'>
9、</FONT><FONT SIZE='14px' COLOR='#FF0000'>可购买化肥之神</FONT><FONT SIZE='14px' COLOR='#fef7d4'>
11、</FONT><FONT SIZE='14px' SIZE='14px' COLOR='#FF0000'>5级VIP礼包</FONT><FONT SIZE='14px' COLOR='#fef7d4'>：强化石、合成石、经验药水、首饰、恢复圣石</FONT><FONT SIZE='14px' COLOR='#FF0000'>钻头、修炼药水</FONT>
avatarCollection.activeItem.promptTxt: 确认消耗{0}金币激活当前图鉴？
wishBead.StrengthenLevel: Gold
floatParade.arrive.tipTxt: 到达终点
horseracing.unit: 马术点
tank.vip.PrivilegeTxt6: <FONT SIZE='14px' COLOR='#fef7d4'>1、任务奖励从2星开始
2、强化经验加成</FONT><FONT SIZE='14px' COLOR='#FF0000'>5</FONT><FONT SIZE='14px' COLOR='#fef7d4'>
3、每天开启一键完成任务功能</FONT><FONT SIZE='14px' COLOR='#FF0000'>2</FONT><FONT SIZE='14px' COLOR='#fef7d4'>次</FONT><FONT SIZE='14px' COLOR='#fef7d4'>
4、副本大翻牌8.8折扣
5、战斗经验加成</FONT><FONT SIZE='14px' COLOR='#FF0000'>1.6</FONT><FONT SIZE='14px' COLOR='#fef7d4'>倍
6、战斗失败不扣除功勋
7、每天可开启VIP币</FONT><FONT SIZE='14px' COLOR='#FF0000'>11</FONT><FONT SIZE='14px' COLOR='#fef7d4'>次
8、</FONT><FONT SIZE='14px' COLOR='#fef7d4'>免费开启梅恩兰德祝福：续关赠送、救命稻草、翻牌赠送、</FONT><FONT SIZE='14px' COLOR='#FF0000'>恢复之风</FONT><FONT SIZE='14px' COLOR='#fef7d4'>
9、可购买化肥之神
10、</FONT><FONT SIZE='14px' COLOR='#FF0000'>可开启宠物第五个技能格</FONT><FONT SIZE='14px' COLOR='#fef7d4'>
11、</FONT><FONT SIZE='14px' SIZE='14px' COLOR='#FF0000'>6级VIP礼包</FONT><FONT SIZE='14px' COLOR='#fef7d4'>：强化石、合成石、经验药水、钻头、修炼药水、首饰、恢复圣石</FONT>
avatarCollection.delayConfirmFrame.titleTxt: 图鉴属性续时
wishBead.GoodsTipPanel.txt1: 装备成功铸金，黄金祝福还剩
magicStone.feedTip: 可将魔石作为成长材料，为升级槽中的魔石提供经验。
horseracing.npctitle: 赛马
tank.vip.PrivilegeTxt7: <FONT SIZE='14px' COLOR='#fef7d4'>1、任务奖励从</FONT><FONT SIZE='14px' COLOR='#FF0000'>3</FONT><FONT SIZE='14px' COLOR='#fef7d4'>星开始
2、强化经验加5</FONT><FONT SIZE='14px' COLOR='#fef7d4'>
3、每天开启一键完成任务功能2次</FONT><FONT SIZE='14px' COLOR='#fef7d4'>
4、副本大翻牌8.8折扣
5、战斗经验加成</FONT><FONT SIZE='14px' COLOR='#FF0000'>1.7</FONT><FONT SIZE='14px' COLOR='#fef7d4'>倍
6、战斗失败不扣除功勋
7、每天可开启VIP币</FONT><FONT SIZE='14px' COLOR='#FF0000'>13</FONT><FONT SIZE='14px' COLOR='#fef7d4'>次
8、</FONT><FONT SIZE='14px' COLOR='#fef7d4'>免费开启梅恩兰德祝福：续关赠送、救命稻草、翻牌赠送、恢复之风、</FONT><FONT SIZE='14px' COLOR='#FF0000'>天赐神力</FONT><FONT SIZE='14px' COLOR='#fef7d4'>
9、可购买化肥之神
10、开启宠物第五个技能格
11、</FONT><FONT SIZE='14px' COLOR='#FF0000'>种植助手免费使用</FONT><FONT SIZE='14px' COLOR='#fef7d4'>
12、</FONT><FONT SIZE='14px' SIZE='14px' COLOR='#FF0000'>7级VIP礼包</FONT><FONT SIZE='14px' COLOR='#fef7d4'>：钻头、修炼药水、首饰、</FONT><FONT SIZE='14px' COLOR='#FF0000'>卡片盒、宝珠、神器碎片</FONT>
avatarCollection.delayConfirmFrame.dayNameTxt: 续时天数：
wishBead.GoodsTipPanel.txt2: 天
horseracing.startRace: 开始赛马
ddt.pets.hungerMsg: 主人我饿了！不吃饱会影响心情的哦！
tank.vip.PrivilegeTxt8: <FONT SIZE='14px' COLOR='#fef7d4'>1、任务奖励从3星开始
2、强化经验加5</FONT><FONT SIZE='14px' COLOR='#fef7d4'>
3、每天开启一键完成任务功能2次</FONT><FONT SIZE='14px' COLOR='#fef7d4'>
4、副本大翻牌8.8折扣
5、战斗经验加成</FONT><FONT SIZE='14px' COLOR='#FF0000'>1.8</FONT><FONT SIZE='14px' COLOR='#fef7d4'>倍
6、战斗失败不扣除功勋
7、每天可开启VIP币</FONT><FONT SIZE='14px' COLOR='#FF0000'>15</FONT><FONT SIZE='14px' COLOR='#fef7d4'>次
8、</FONT><FONT SIZE='14px' COLOR='#fef7d4'>免费开启梅恩兰德祝福：续关赠送、救命稻草、翻牌赠送、恢复之风、天赐神力、</FONT><FONT SIZE='14px' COLOR='#FF0000'>修炼大师</FONT><FONT SIZE='14px' COLOR='#fef7d4'>
9、可购买化肥之神
10、开启宠物第五个技能格
11、种植助手免费使用
12、</FONT><FONT SIZE='14px' COLOR='#FF0000'>每天免费使用5次辅助瞄准器</FONT><FONT SIZE='14px' COLOR='#fef7d4'>
13、</FONT><FONT SIZE='14px' SIZE='14px' COLOR='#FF0000'>8级VIP礼包</FONT><FONT SIZE='14px' COLOR='#fef7d4'>：钻头、修炼药水、卡片盒、首饰、宝珠、神器碎片</FONT>
avatarCollection.delayConfirmFrame.promptTxt: 当前勾选了{1}套属性
续时一共需要消耗<FONT COLOR='#FF0000'>{0}</FONT>荣誉。
wishBead.GoodsTipPanel.txt3: 小时
carnival.descTxt9: 战魂总品阶达到{0}
horseracing.inviteFriends: 选取好友
ddt.petsBag.petStatus: 愤怒||不满||满意||快乐
tank.vip.PrivilegeTxt9: <FONT SIZE='14px' COLOR='#fef7d4'>1、任务奖励从3星开始
2、强化经验加5</FONT><FONT SIZE='14px' COLOR='#fef7d4'>
3、每天开启一键完成任务功能</FONT><FONT SIZE='14px' COLOR='#FF0000'>3</FONT><FONT SIZE='14px' COLOR='#fef7d4'>次</FONT><FONT SIZE='14px' COLOR='#fef7d4'>
4、副本大翻牌8.8折扣
5、战斗经验加成</FONT><FONT SIZE='14px' COLOR='#FF0000'>1.9</FONT><FONT SIZE='14px' COLOR='#fef7d4'>倍
6、战斗失败不扣除功勋
7、每天可开启VIP币</FONT><FONT SIZE='14px' COLOR='#FF0000'>17</FONT><FONT SIZE='14px' COLOR='#fef7d4'>次
8、</FONT><FONT SIZE='14px' COLOR='#fef7d4'>免费开启梅恩兰德祝福：续关赠送、救命稻草、翻牌赠送、恢复之风、天赐神力、修炼大师、</FONT><FONT SIZE='14px' COLOR='#FF0000'>开罐超人</FONT><FONT SIZE='14px' COLOR='#fef7d4'>
9、可购买化肥之神
10、开启宠物第五个技能格
11、种植助手免费使用
12、</FONT><FONT SIZE='14px' COLOR='#FF0000'>每天免费使用7次辅助瞄准器</FONT><FONT SIZE='14px' COLOR='#fef7d4'>
13、</FONT><FONT SIZE='14px' COLOR='#FF0000'>开启BOSS战斗</FONT><FONT SIZE='14px' COLOR='#fef7d4'>
13、</FONT><FONT SIZE='14px' SIZE='14px' COLOR='#FF0000'>9级VIP礼包</FONT><FONT SIZE='14px' COLOR='#fef7d4'>：钻头、修炼药水、卡片盒、首饰、宝珠、神器碎片</FONT>
avatarCollection.delayConfirmFrame.noEnoughHonor: 荣誉不足
wishBead.lostEquip: 请放入需要铸金的装备
floatParade.timeEnd.tipTxt: 比赛失败
horseracing.scoreNotEnough: 马术点不足
tank.vip.PrivilegeTxt10: <FONT SIZE='14px' COLOR='#fef7d4'>1、任务奖励从</FONT><FONT SIZE='14px' COLOR='#FF0000'>4</FONT><FONT SIZE='14px' COLOR='#fef7d4'>星开始
2、强化经验加5</FONT><FONT SIZE='14px' COLOR='#fef7d4'>
3、每天开启一键完成任务功能3次</FONT><FONT SIZE='14px' COLOR='#fef7d4'>
4、副本大翻牌8.8折扣
5、战斗经验加成</FONT><FONT SIZE='14px' COLOR='#FF0000'>2</FONT><FONT SIZE='14px' COLOR='#fef7d4'>倍
6、战斗失败不扣除功勋
7、每天可开启VIP币</FONT><FONT SIZE='14px' COLOR='#FF0000'>19</FONT><FONT SIZE='14px' COLOR='#fef7d4'>次
8、</FONT><FONT SIZE='14px' COLOR='#fef7d4'>免费开启梅恩兰德祝福：续关赠送、救命稻草、翻牌赠送、恢复之风、天赐神力、修炼大师、开罐超人、</FONT><FONT SIZE='14px' COLOR='#fef7d4'>
9、可购买化肥之神
10、开启宠物第五个技能格
11、种植助手免费使用
12、</FONT><FONT SIZE='14px' COLOR='#FF0000'>每天免费使用10次辅助瞄准器</FONT><FONT SIZE='14px' COLOR='#fef7d4'>
13、开启BOSS战斗
14、</FONT><FONT SIZE='14px' COLOR='#FF0000'>上线全服公告，下次上线公告时间间隔为1小时</FONT><FONT SIZE='14px' COLOR='#fef7d4'>
15、</FONT><FONT SIZE='14px' SIZE='14px' COLOR='#FF0000'>10级VIP礼包</FONT><FONT SIZE='14px' COLOR='#fef7d4'>：钻头、修炼药水、卡片盒、首饰、宝珠、神器碎片</FONT>
avatarCollection.doActive.donnotHas: 当前没有获得该{0}
wishBead.noBead: 祝福宝珠数量不足
magicStone.feedTip2: 魔石材料经验超出较多，确认是否合成？
horseracing.scoreTips: 马术点上限为{0}点
tank.vip.PrivilegeTxt11: 您的VIP已经满级
avatarCollection.buyConfirm.tipTxt: 确定以{0}点券购买当前{1}并激活图鉴？
wishBead.notCanWish: 该物品无法铸金
horseracing.result.alertMsg: 恭喜你本次赛马获得第{0}名，增加马术点{1}
ddt.pets.expLimitMsg: 经验快到达上限了！
tank.vip.rechargeAlertContent1Param0: 2
tank.vip.rechargeAlertContent1Param1: 2.2
wishBead.equipIsGold: 该物品已经铸金成功，无需继续铸金
ddt.pets.petUnFight: 宠物不能出战 
avatarCollection.noTime.tipTxt: 您的部分图鉴属性已经失效。|立即激活
tank.vip.rechargeAlertContent2Param: 5
wishBead.remainTimeShort: 装备有效期过低
horseracing.result.chatMsg: 本次赛马获得第{0}名，增加马术点{1}
floatParade.leaveGamePromptTxt: 确定退出比赛场景？
avatarCollection.pay.tipTxt: 请在行走大厅进行操作！
tank.vip.rechargeAlertContent3Param: 3
core.MyConsortiaTax.conentTxt.text: 您目前拥有         绑定点券，请输入数量
                个
wishBead.help: 正在铸金，不能进行此操作
ddt.shop.LimitGradeBuy: {0}级后可购买
tank.vip.rechargeAlertContent4Param0: 29999
avatarCollection.select.decorate: 服饰
avatarCollection.select.weapon: 武器
lantern.helpTitle: 元宵活动帮助
wishBead.result: 恭喜铸金成功
horseracing.result.cannotRace: 您28级以上好友不足4人，无法开始赛马
tank.vip.rechargeAlertContent4Param1: 39999
horseracing.playerGradeNeeded: 28级开启
ddt.pets.hasCropMature: 农场有农作物已经成熟了，快去收吧！
ddt.pets.petHappyDesc: 宠物可以发挥{0}属性.
ddt.wasteRecycle.continuousLottery: 连续抽奖
tank.roulette.tipInfo: 恭喜您获得{0}倍充值奖励，充值返点不超过最高返点额度哦！
tank.vip.rechargeAlertContent5Param0: 8
avatarCollection.bagFull: 背包已满，无法购买激活.
farm.poultry.isPrepareTxt: 准备状态下，无法进入农场
ddt.wasteRecycle.notRecycleGoods: 请放入需要兑换的物品！
tank.roulette.running: 轮盘转动中。。。
newTitleView.currentTitleTxt: 选中称号
floatParade.frame.callCarConfirmTxt: 确定消耗{0}点券进行装饰？
newTitleView.hasTitleTxt: 拥有称号
tank.vip.rechargeAlertContent5Param1: 7
tank.vip.rechargeAlertContent6Param0: 30
tank.leavaPageManager.chargeMoney.error: 加载充值页面有错！
lantern2015.activity.open: 元宵活动已开启!
farm.poultry.isMatchTxt: 战斗撮合中，无法进入农场
ddt.kingBlessFrame.awardNameTxtList: 神力护体,时光使者,珠宝大师,稻草之灵,远征勇士,精力之神,异度空间
newTitleView.allTitleTxt: 全部称号
tank.vip.rechargeAlertContent6Param1: 10
times: 次
hall.view.LanternBegin: 趣味答题活动开启.立即参与!
happyRecharge.mainFrame.bigcell.tipContext9: 小金羊兑换券可以兑换物品~
ddt.pets.skillTipLost: 消耗:
newTitleView.propertyTxt: 攻击：{0}
防御：{1}
敏捷：{2}
幸运：{3}
有效期：{4}天

{5}
tank.store.enchant.spiritMax: 注灵已到满级！
tank.vip.rechargeAlertContent7Param0: 2
tank.vip.rechargeAlertContent7Param1: 4
tank.store.enchant.magicDefend: 魔抗  {0}%
ddt.kingBlessFrame.awardNameStateTxt: 当前可用
tank.peakBattle.needEquip: 装备技能天赋需要先出战宠物！
horseracing.MoreThan5Player: 全部选手已经就位，可以开始赛马
ddt.timeGiftPack.tip: {0}将在30分钟内过期.立即查看!
tank.vip.rechargeAlertContent10Param0: 8
wonderfulactivity.accumulativelogin.txt: 累计登录7天才能选择神器
happyRecharge.mainFrame.bigcell.tipTitle10: 惊喜大奖
floatParade.frame.useSkillConfirmTxt0: 确认消耗{0}点券/绑定点券，瞬间跳跃一段距离。
newTitleView.titleTxt: 称号管理
newTitleView.useTitleSuccessTxt: 使用{0}成功
lantern2015.activity.close: 元宵活动已结束!
wonderfulactivity.accumulativelogin.txt2: 请选择一件神器
ddt.pets.skillTipDesc: 功能:
tank.vip.rechargeAlertContent10Param1: 15
tank.invite.InviteView.close: 关闭
tank.store.enchant.spiritNotEquip: 请选择注灵首饰！
tank.vip.rechargeAlertContent11Param0: 15
newTitleView.hideBtnTipTxt: 隐藏称号，称号不再显示，称号属性依然生效。
poorNote: 您的点券不足，是否立即充值？
hall.getLandersAward.tipsText: 请使用登录器登录领取奖励
tank.store.enchant.spiritNotEnough: 注灵材料不足！
flowerGiving.title: 弹弹花香
tank.reverseGame.roomLimitTimes: 获胜礼包:{0}/{1}
tank.vip.rechargeAlertContent12Param0: 6
newTitleView.hasnoTitleTxt: 未获得
bindMoneyPoorNote: 绑定点券不足
newTitleView.selectTitleTxt: 请先选中一个拥有的称号
happyRecharge.mainFrame.bigcell.tipContext10: 可以获得奖池中<font color='#ff0000'>{0}%</font>的物品！
carnival.descTxt15: 坐骑达到{0}级{1}星
moneyPoorNote: 点券不足
tank.vip.rechargeAlertContent12Param1: 12
tank.adventure.room.leaveroom: 确定要离开寻宝大陆？
tank.vip.rechargeAlertContent12Param2: 勋章、强化石、合成石、经验药水、恢复圣石、钻头、卡牌、首饰
floatParade.frame.useSkillConfirmTxt1: 确认消耗{0}点券/绑定点券，将自己
的花车隐形30秒，不受到拦劫。
tank.consortiaBattle.complete: 血量
flowerGiving.desc: 活动规则：活动期间，送花他人或者被赠鲜花可获得人气排
行，还能领取丰厚奖励，赠人鲜花，手有余香，赶快行动吧！
活动时间：{0}至{1}
领奖时间：{2}至{3}
ddt.pets.skillTipMagicValue: {0}魔法值 
flowerGiving.sendView.title1Txt: 领取条件
tank.adventure.eventLoader.fail: 大冒险事件模板加载失败！
tank.vip.rechargeAlertContent12Param3: 勋章、钻头、修炼药水、首饰、卡片盒、宝珠、神器碎片、种子
lantern2015.makeFailed: 材料不足，无法制作
enchant.valueTxt: 附魔值
enchant.descTxt: 附魔效果将在首饰熔炼等级+3后生效
offer: 功勋
flowerGiving.sendView.title2Txt: 领取奖励
tank.adventure.shopLoader.fail: 大冒险商城模板加载失败！
happyRecharge.mainFrame.bigcell.tipTitle11: 幸运大奖
tank.adventure.noEvent: 什么事情都没有发生！
enchant.levelTxt: {0}阶{1}级附魔
attack: 攻击
ddt.loader.loadPetAllSkillFail: 加载宠物所有技能模板信息失败
ddt.loader.loadFoodComposeListFail: 加载食物合成模板信息失败
BaseRoomView.getout.bossRoom: 您已进入BOSS战房间
flowerGiving.sendView.title3Txt: 领取状态
defence: 防御 
flowerGiving.sendView.myFlowerTitle: 我的赠花数量：
tank.adventure.addCount: 增加一次冒险次数！
ddt.loader.loadPetConfigFail: 加载宠物系统配置模板信息失败
floatParade.frame.useSkillConfirmTxt2: 确认消耗{0}点券/绑定点券，将自身减益效果清除。
evolutionchant.levelTxt: 进化等级Lv.{0}
enchant.addMagicAttackTxt: 魔攻：
agility: 敏捷
flowerGiving.rankView.rankTxt: 排行
tank.adventure.box.posFull: 宝箱格子已满！
ddt.loader.loadCardGrooveFail: 加载卡槽数据信息失败
ddt.pets.foodAmountSelect: 宠物粮数量
tank.consortiaBattle.teamName1: 红队:{0}
enchant.addMagicDenfenceTxt: 魔抗:
luck: 幸运 
flowerGiving.rankView.nameTxt: 名称
lantern2015.cookFailed: 材料不足，无法制作
happyRecharge.mainFrame.bigcell.tipContext11: 可以获得奖池中<font color='#ff0000'>{0}%</font>的物品！
ddt.hallStateView.putFireworks: 烟花红包
enchant.noEquip: 您未放入装备！
damage: 伤害
ddt.loader.loadCardTemplateInfoFail: 加载卡牌模版数据信息失败
tank.adventure.buyCountTxt: 确定消耗{0}点券购买探索次数(还可购买{1}次)？
tank.adventure.buyShopCell: 确定消耗{0}点券购买商品？
ddt.loader.loadItemStrengthenGoodsInfoListFail: 加载装备等级加成模板信息失败
tank.adventure.buyReset: 确定消耗{0}财富重置Boss？
flowerGiving.rankView.numTxt: 鲜花数量
recovery: 护甲
flowerGiving.rankView.basePrizeTxt: 基础奖
ddt.loader.loadHonorUpInfoFail: 加载荣誉升华模板信息失败
floatParade.frame.useSkillConfirmTxt3: 确认消耗{0}点券/绑定点券，发射导弹。
enchant.noSouleStone: 您未放入灵魂石！
enchant.cannotUp:  该装备已经附魔到最高级.
subDamage: 减伤
flowerGiving.rankView.superPrizeTxt: 超奖
tank.adventure.openBoxTxt: 确定消耗{0}点券开启宝箱？
ddt.loader.loadEveryDayActFail: 每日活动显示模板信息失败
